[2025-04-23 16:45:32] Vehicle veh0 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:32] Vehicle veh1 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:35] Vehicle veh0 params - Power: 20, Beacon: 9, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:35] Vehicle veh1 params - Power: 17, Beacon: 11, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:35] Vehicle veh0 params - Power: 23, Beacon: 8, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:35] Vehicle veh1 params - Power: 14, Beacon: 11, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:37] Vehicle veh0 params - Power: 26, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh1 params - Power: 14, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh10 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh102 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh0 params - Power: 26, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh1 params - Power: 14, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh10 params - Power: 23, Beacon: 11, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:37] Vehicle veh102 params - Power: 23, Beacon: 11, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh0 params - Power: 23, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh1 params - Power: 17, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh10 params - Power: 23, Beacon: 12, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh102 params - Power: 20, Beacon: 11, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh0 params - Power: 23, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh1 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh10 params - Power: 23, Beacon: 13, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh100 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh102 params - Power: 20, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh103 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh0 params - Power: 26, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh1 params - Power: 20, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh10 params - Power: 26, Beacon: 13, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh100 params - Power: 17, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:38] Vehicle veh102 params - Power: 17, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:38] Vehicle veh103 params - Power: 23, Beacon: 9, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh0 params - Power: 29, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh1 params - Power: 20, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh10 params - Power: 29, Beacon: 12, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh100 params - Power: 20, Beacon: 9, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh102 params - Power: 14, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:39] Vehicle veh103 params - Power: 23, Beacon: 8, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh0 params - Power: 26, Beacon: 10, SNR: 0, Neighbors: 3, CBR: 0
[2025-04-23 16:45:39] Vehicle veh1 params - Power: 17, Beacon: 12, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:39] Vehicle veh10 params - Power: 30, Beacon: 13, SNR: 0, Neighbors: 3, CBR: 0
[2025-04-23 16:45:39] Vehicle veh100 params - Power: 17, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh101 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh102 params - Power: 14, Beacon: 9, SNR: 0, Neighbors: 1, CBR: 0
[2025-04-23 16:45:39] Vehicle veh103 params - Power: 20, Beacon: 7, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:39] Vehicle veh104 params - Power: 20, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:40] Vehicle veh0 params - Power: 26, Beacon: 11, SNR: 0, Neighbors: 3, CBR: 0
[2025-04-23 16:45:40] Vehicle veh1 params - Power: 17, Beacon: 13, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:40] Vehicle veh10 params - Power: 30, Beacon: 13, SNR: 0, Neighbors: 3, CBR: 0
[2025-04-23 16:45:40] Vehicle veh100 params - Power: 14, Beacon: 11, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:40] Vehicle veh101 params - Power: 23, Beacon: 10, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:40] Vehicle veh102 params - Power: 11, Beacon: 9, SNR: 0, Neighbors: 0, CBR: 0
[2025-04-23 16:45:40] Vehicle veh103 params - Power: 20, Beacon: 8, SNR: 0, Neighbors: 2, CBR: 0
[2025-04-23 16:45:40] Vehicle veh104 params - Power: 17, Beacon: 10, SNR: 0, Neighbors: 1, CBR: 0
